,id,name,name_id,content,timestamp,channel,language,category,vect,logit_predict,Mnb_predict,tree_predict,rf_predict,bg_predict,knn_predict,nn_predict
232,2.6678501159482163e+17,LittleMouse,244,"I’m a little late, but welcome welcome!",2020-02-12T05:58:50Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,east,eu,sea,sea,east,eu
234,2.6678501159482163e+17,LittleMouse,244,Thank you both for the welcome!,2020-02-12T02:14:30Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,eu,sea,sea,east,east
238,2.6678501159482163e+17,LittleMouse,244,"Alright, might’ve finally caught up with some things. Hi everyone!",2020-02-12T02:04:10Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
239,4.702273537469317e+17,sqry,9605,thanks!!,2020-02-12T01:40:45Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
240,6.567098614213509e+17,Audrey,2260,Welcome!!!!!!!,2020-02-12T01:31:01Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
248,6.567098614213509e+17,Audrey,2260,Welcome!,2020-02-11T23:56:03Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
249,5.64583296814809e+17,BREAD,7623,wonder if they made it in yet,2020-02-11T21:29:02Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
250,5.64583296814809e+17,BREAD,7623,<:GWpinkuSadOtato:393081466176667648>,2020-02-11T21:28:55Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
253,5.64583296814809e+17,BREAD,7623,aww,2020-02-11T18:38:42Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,sea,east
254,5.64583296814809e+17,BREAD,7623,hahaha,2020-02-11T18:38:40Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
261,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-11T18:23:34Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
263,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-11T03:05:20Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
264,6.567098614213509e+17,Audrey,2260,Welcome!,2020-02-11T05:37:31Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
266,6.713174429367009e+17,R4ch,9714,tsuki in kleptocats 🤣,2020-02-11T07:12:52Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
270,5.7209868353378714e+17,Wei Wei,123,<:yori_loves_chi:652933152024821821>,2020-02-11T00:54:32Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
296,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-10T21:25:10Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
304,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-10T06:27:02Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
305,4.953405075313132e+17,00French_Toast00,2973,*Whez* and I was worried I had to do human interaction to get in  since I got stuck,2020-02-10T01:19:17Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
306,4.953405075313132e+17,00French_Toast00,2973,“Morning”,2020-02-10T01:18:22Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,east,east,sea,sea
308,5.7209868353378714e+17,Wei Wei,123,Sometimes I feel like a @whore too,2020-02-10T00:31:47Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
312,5.64583296814809e+17,BREAD,7623,hello hello!,2020-02-09T23:22:57Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
314,6.206410138323517e+17,aereia,7977,Hope everyone is well,2020-02-09T22:46:43Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
315,6.206410138323517e+17,aereia,7977,Welcome!!,2020-02-09T22:46:40Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
316,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-09T20:30:31Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
326,5.64583296814809e+17,BREAD,7623,<:GWpinkuSadOtato:393081466176667648>,2020-02-09T18:34:35Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
354,6.206410138323517e+17,aereia,7977,So that’s been on my mind lately,2020-02-09T04:53:43Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
355,6.206410138323517e+17,aereia,7977,But also I just want to share that I work at a boba place and someone asked for their drink to have ice at the bottom,2020-02-09T04:53:37Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,east
356,6.206410138323517e+17,aereia,7977,<:hug:589655063027253288> <:hug:589655063027253288>,2020-02-09T04:51:41Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
357,6.206410138323517e+17,aereia,7977,Just got home from work and in downtown there’s a parade for lunar new year,2020-02-09T04:51:02Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
358,6.206410138323517e+17,aereia,7977,Hello,2020-02-09T04:50:32Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
359,5.64583296814809e+17,BREAD,7623,how is every bunny doing?,2020-02-09T04:33:44Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,sea,east,sea,east,east,sea
362,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-09T04:17:50Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
364,5.64583296814809e+17,BREAD,7623,hello!,2020-02-09T01:40:55Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
377,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-09T00:11:54Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
378,6.474493367660052e+17,Ceej The Seal,9580,#tsukiadventure @HyperBeard Chi just wants my carrot chips,2020-02-08T22:29:55Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
379,5.64583296814809e+17,BREAD,7623,<:hug:589655063027253288> <:hug:589655063027253288> <:hug:589655063027253288>,2020-02-08T05:07:19Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
385,6.567098614213509e+17,Audrey,2260,<:hug:589655063027253288>,2020-02-08T05:03:38Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
386,5.64583296814809e+17,BREAD,7623,ty that’s a good idea!,2020-02-08T05:02:31Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
387,5.64583296814809e+17,BREAD,7623,oooooh that sounds relaxing,2020-02-08T05:02:22Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
388,6.567098614213509e+17,Audrey,2260,yeah thats a great idea!,2020-02-08T05:02:20Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
389,6.567098614213509e+17,Audrey,2260,sometimes i find it soothing to get a towel and dampen in and like kinda rub my back? (when i'm sick if im overheated it cools you down),2020-02-08T05:02:14Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
390,5.64583296814809e+17,BREAD,7623,maybe i’ll throw a warm towel on my face to try to calm down,2020-02-08T05:02:09Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
391,5.64583296814809e+17,BREAD,7623,oh that’s a good idea,2020-02-08T05:01:57Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,east,east,east,east
392,6.567098614213509e+17,Audrey,2260,and maybe you can rinse your face or something?,2020-02-08T05:01:31Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,eu
393,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-08T05:01:17Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
394,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-08T04:57:34Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
395,5.64583296814809e+17,BREAD,7623,<:sadsly:558330991148662806>,2020-02-08T04:56:18Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
396,5.64583296814809e+17,BREAD,7623,i wanna hop in the shower and be a soggy loaf of bread but everyone is sleeping and i don’t wanna wake people,2020-02-08T04:56:13Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
397,5.64583296814809e+17,BREAD,7623,i hope so too lmao,2020-02-08T04:55:58Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
398,5.64583296814809e+17,BREAD,7623,ty ty,2020-02-08T04:55:55Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
399,6.567098614213509e+17,Audrey,2260,i hope you feel better!,2020-02-08T04:55:24Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
400,6.567098614213509e+17,Audrey,2260,<:hug:589655063027253288> <:hug:589655063027253288>,2020-02-08T04:55:15Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
401,5.64583296814809e+17,BREAD,7623,ty omslake,2020-02-08T04:54:52Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
406,5.64583296814809e+17,BREAD,7623,rip,2020-02-08T04:40:44Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
407,5.64583296814809e+17,BREAD,7623,is this what i get for not doing my homework when didi told me to?,2020-02-08T04:40:41Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
408,5.64583296814809e+17,BREAD,7623,sos,2020-02-08T04:40:27Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
409,5.64583296814809e+17,BREAD,7623,it’s dying,2020-02-08T04:40:26Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
443,6.022370440343716e+17,DeRpY_EdiToR,7872,"Um, sorry to bother, but I can’t talk in <#558245731857596417>?",2020-02-07T02:14:33Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
444,5.64583296814809e+17,BREAD,7623,welcome to tsuki server! don’t forget to introduce yourself in <#558245731857596417>,2020-02-07T02:11:27Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,sea,sea,east,east,eu
451,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-07T02:01:20Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
452,6.022370440343716e+17,DeRpY_EdiToR,7872,hello!,2020-02-07T01:54:32Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
453,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-07T01:30:33Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
454,5.642129434709852e+17,Holy Duck Duck,8190,"welcome!!
<:mocahype:558657922603810826>",2020-02-07T01:27:43Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,sea,eu,sea,sea,sea
455,5.642129434709852e+17,Holy Duck Duck,8190,welcome!!<:mocahype:558657922603810826>,2020-02-07T01:00:54Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,sea,eu,sea,sea,sea
456,6.206410138323517e+17,aereia,7977,It’s almost 4pm for meeeee,2020-02-06T22:57:57Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
457,1.8493971383923507e+17,Firefly,1663,Picking up trash in the great city,2020-02-06T03:41:51Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,eu,eu,eu,east,eu
458,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-06T05:53:06Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
459,2.1474404369799578e+17,Fredd8,6409,Will we get a valentine event or no,2020-02-06T07:17:49Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,east
460,5.495312660645806e+17,ApexPredator,8840,No,2020-02-06T10:16:45Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
461,5.64583296814809e+17,BREAD,7623,how all the bunnies doing tonight,2020-02-06T03:04:59Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
462,5.64583296814809e+17,BREAD,7623,<:yaycarrots:558332067306405914>,2020-02-06T03:02:53Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
468,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-06T02:25:15Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
469,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-06T02:25:07Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
470,5.201521051142717e+17,starshine,763,Thank youuu,2020-02-06T01:58:00Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
471,5.642129434709852e+17,Holy Duck Duck,8190,welcome!!,2020-02-06T01:40:53Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
476,6.474493367660052e+17,Ceej The Seal,9580,Momo put me to work today #tsukiadventure,2020-02-05T21:58:49Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
477,5.64583296814809e+17,BREAD,7623,<:GWcorbinMonkaGIGA:384871327292588054>,2020-02-05T20:43:52Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
478,5.495312660645806e+17,ApexPredator,8840,Thought u are dead,2020-02-05T17:21:59Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,sea,east,east,sea
479,5.495312660645806e+17,ApexPredator,8840,<@573469890233761793> oh man hi,2020-02-05T17:21:52Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
486,2.4422784799932416e+17,cinnaini,5050,<:yori_loves_chi:652933152024821821>,2020-02-05T05:47:24Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
487,5.495312660645806e+17,ApexPredator,8840,The pfp,2020-02-05T05:55:20Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
488,5.495312660645806e+17,ApexPredator,8840,<:wtf:558662277331550208>,2020-02-05T05:55:24Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
495,2.4422784799932416e+17,cinnaini,5050,<:mocahype:558657922603810826>,2020-02-05T05:46:36Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,eu,east,sea,eu
496,2.4422784799932416e+17,cinnaini,5050,<@106126259645345792> soup,2020-02-05T05:46:33Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
498,4.103868537794724e+17,........,9234,<:GWgsexDerpandan:408675126628843530>,2020-02-05T05:36:30Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
504,6.474493367660052e+17,Ceej The Seal,9580,Bedtime stories #tsukiadventure @HyperBeard https://hyperbeard.com/game/tsuki/install,2020-02-05T03:38:38Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,sea,east,sea,sea
505,6.567098614213509e+17,Audrey,2260,welcome,2020-02-05T02:50:11Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
508,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-05T02:07:32Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
512,5.64583296814809e+17,BREAD,7623,<:ded:558657335300718594>,2020-02-04T22:32:42Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
516,6.206410138323517e+17,aereia,7977,Good morning to everyone! Have a good day,2020-02-04T18:32:34Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,sea,sea,sea,sea,sea
517,6.206410138323517e+17,aereia,7977,Welcomeee,2020-02-04T18:32:17Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,east,eu,eu,east,eu,eu
522,5.495312660645806e+17,ApexPredator,8840,<:sadsly:558330991148662806>,2020-02-04T14:01:51Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
523,5.495312660645806e+17,ApexPredator,8840,💪,2020-02-04T05:35:05Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
526,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-04T00:52:25Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
527,4.73533056162988e+17,츠설(tsushol),8891,Wow so cute ㅠㅠ😍 😍 😍,2020-02-04T00:48:46Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,sea
537,6.567098614213509e+17,Audrey,2260,Welcome!,2020-02-03T22:26:19Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
542,6.73905483517526e+17,Trina93,1258,Welcome!!!!,2020-02-03T16:40:26Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
546,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-03T15:17:47Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
563,2.1474404369799578e+17,Fredd8,6409,<:yaycarrots:558332067306405914>,2020-02-03T05:28:02Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
565,5.642129434709852e+17,Holy Duck Duck,8190,hewo,2020-02-03T02:43:50Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
567,6.206410138323517e+17,aereia,7977,<:pepeyay:558328906604740608>,2020-02-03T00:19:10Z,chat,,,[0. 0. 0. ... 0. 0. 0.],sea,sea,east,east,east,sea,eu
568,6.206410138323517e+17,aereia,7977,Hello,2020-02-03T00:19:02Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
569,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-02T21:15:26Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
570,6.567098614213509e+17,Audrey,2260,welcome,2020-02-02T21:07:15Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
571,3.391631946669097e+17,lion emoji,2712,<:dogchamp:622991644274196490>,2020-02-02T20:49:21Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
572,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-02T20:45:40Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
584,5.209558821675991e+17,lisanu,5998,Thanks 😊,2020-02-02T17:20:44Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
585,5.209558821675991e+17,lisanu,5998,<:hug:589655063027253288>,2020-02-02T17:20:37Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,eu,east,east,eu
586,5.64583296814809e+17,BREAD,7623,<:tsukiball:671621963399168011>,2020-02-02T17:17:53Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,east,eu,east,east,eu
587,5.64583296814809e+17,BREAD,7623,welcome!,2020-02-02T17:17:51Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
588,6.567098614213509e+17,Audrey,2260,welcome!,2020-02-02T17:09:53Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
592,5.7209868353378714e+17,Wei Wei,123,<:GWlulurdMmmYea:402868023393910794> <:GWlulurdMmmYea:402868023393910794> <:GWlulurdMmmYea:402868023393910794>,2020-01-01T03:16:25Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
593,5.5753133190335686e+17,EmmyTheEnvyofHumans'sfriend,3680,Happy New year everybunny!!!,2020-01-01T06:08:15Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,eu,eu,eu,eu,east,eu
594,4.3143141584299616e+17,NOOB NOOB,9335,Happy New yearr ✨🥕,2020-01-01T06:22:32Z,chat,,,[0. 0. 0. ... 0. 0. 0.],eu,east,east,eu,east,eu,east
622,5.64583296814809e+17,BREAD,7623,living in the past,2019-12-31T16:32:29Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
623,5.64583296814809e+17,BREAD,7623,it’s still 2019 here lmao,2019-12-31T16:32:23Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
628,5.7209868353378714e+17,Wei Wei,123,<:pGasm:266366829805436928> <:pGasm:266366829805436928> <:pGasm:266366829805436928>,2019-12-31T03:43:16Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
629,2.1474404369799578e+17,Fredd8,6409,My dog converted to nun,2019-12-31T04:32:42Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,east
630,5.7209868353378714e+17,Wei Wei,123,<@214744043697995776> nice nun,2019-12-31T06:23:28Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,sea,east,east,east,east,sea
639,5.7209868353378714e+17,Wei Wei,123,HOIST THE COLOUR!!!,2019-12-31T00:21:11Z,chat,,,[0. 0. 0. ... 0. 0. 0.],east,east,east,east,east,east,eu
